date: 06-09-2025, time:7 PM, team1: Team 2 - JapJungler, team2: Team 5 - Kiteflyer, results: Team 2, stage: Round Robin
date: 06-09-2025, time:9 PM, team1: Team 1 - Zacknado, team2: Team 3 - Peaceful, results: Team 1, stage: Round Robin
date: 07-09-2025, time:7 PM, team1: Team 6 - MaxiMonkey, team2: Team 7 - Mizu, results: Team 6, stage: Round Robin
date: 07-09-2025, time:9 PM, team1: Team 4 - Tofu, team2: Team 8 - Lucian, results: Team 8, stage: Round Robin
date: 13-09-2025, time:7 PM, team1: Team 3 - Peaceful, team2: Team 5 - Kiteflyer, results: Team 5, stage: Round Robin
date: 13-09-2025, time:9 PM, team1: Team 1 - Zacknado, team2: Team 6 - MaxiMonkey, results: Team 1, stage: Round Robin
date: 14-09-2025, time:7 PM, team1: Team 2 - JapJungler, team2: Team 8 - Lucian, results: Team 8, stage: Round Robin
date: 14-09-2025, time:9 PM, team1: Team 4 - Tofu, team2: Team 7 - Mizu, results: Team 4, stage: Round Robin
date: 20-09-2025, time:7 PM, team1: Team 6 - MaxiMonkey, team2: Team 8 - Lucian, results: Team 8, stage: Semi Finals
date: 21-09-2025, time:7 PM, team1: Team 1 - Zacknado, team2: Team 4 - Tofu, results: Team 1, stage: Semi Finals 
date: 28-09-2025, time:7 PM, team1: Team 1 - Zacknado, team2: Team 8 - Lucian, results: Team TBC, stage: Finals
