IGN,Discord,Rank,Date,Time
Mesmagius#guoce,mesmerheiz,PLATINUM II,06/06/2026, 17:18:25
Dolphindude #2348,Dolphindude #2348,PLATINUM IV,06/06/2026, 18:18:24
MontyFluffyButt#OCEE,missmontymcfluffybutt,Unranked,06/06/2026, 20:46:21
剑魂 Yone#AMTB,hooteronscooter111_49471,EMERALD IV,11/06/2026, 18:29:31
OBODuck#ttv,duckamus,GOLD I,06/07/2026, 21:02:08
SKS MCLUTCHY #001,academy_nz,PLATINUM IV,07/08/2026, 16:54:00
rankzero#00000,@melonskiski,SILVER II,08/08/2026, 19:32:40
Beaumont#6290,@momoggew,PLATINUM III,10/08/2026, 16:00:54
iris #grace,dotiris,GOLD III,10/08/2026, 19:31:31
Charlotte#kiwi,@PlayingwithmyduoNZLmonster,Unranked,14/08/2026, 16:49:10
Caliburnus#OC,holyboyd,DIAMOND I,15/08/2026, 02:32:32
Rustle#no ff,@rustyoce,MASTER I,17/08/2026, 19:10:50
